issue_date,province_id,lead,probability,base_rate,y_obs
2024-01-30,5,2,0.285658,0.118405,0.0
2024-01-30,5,3,0.343669,0.118481,0.0
2024-01-30,5,4,0.315927,0.118557,0.0
2024-01-30,5,5,0.346342,0.118084,1.0
2024-01-30,5,6,0.383307,0.117518,0.0
2024-01-31,5,2,0.297818,0.118405,0.0
2024-01-31,5,3,0.353524,0.118481,0.0
2024-01-31,5,4,0.325442,0.118557,1.0
2024-01-31,5,5,0.360003,0.118084,1.0
2024-01-31,5,6,0.386356,0.117518,0.0
2024-02-01,5,2,0.286868,0.118405,0.0
2024-02-01,5,3,0.335631,0.118481,0.0
2024-02-01,5,4,0.306128,0.118557,1.0
2024-02-01,5,5,0.331578,0.118084,1.0
2024-02-01,5,6,0.361252,0.117518,0.0
2024-02-02,5,2,0.308695,0.118405,0.0
2024-02-02,5,3,0.349838,0.118481,0.0
2024-02-02,5,4,0.32653,0.118557,1.0
2024-02-02,5,5,0.352641,0.118084,0.0
2024-02-02,5,6,0.377049,0.117518,0.0
2024-02-03,5,2,0.362443,0.118405,0.0
2024-02-03,5,3,0.401579,0.118481,0.0
2024-02-03,5,4,0.38591,0.118557,1.0
2024-02-03,5,5,0.407289,0.118084,0.0
2024-02-03,5,6,0.424852,0.117518,0.0
2024-02-04,5,2,0.42048,0.118405,0.0
2024-02-04,5,3,0.464097,0.118481,0.0
2024-02-04,5,4,0.447358,0.118557,1.0
2024-02-04,5,5,0.466944,0.118084,0.0
2024-02-04,5,6,0.470668,0.117518,0.0
2024-02-05,5,2,0.439527,0.118405,0.0
2024-02-05,5,3,0.459933,0.118481,0.0
